time,altitude,groundspeed,true_airspeed,vertical_rate,mass,fuel_flow
527.0,60.453125,31.77734375,31.77734375,0.0,69762.525138855,2.131332151203728
528.0,64.0,36.77734375,36.77734375,0.0,69762.525138855,2.1053017856918
529.0,64.453125,41.77734375,41.77734375,0.0,69762.525138855,2.078511495729133
530.0,68.0,46.77734375,46.77734375,0.0,69762.525138855,2.0798147858493055
531.0,68.453125,51.421875,51.421875,0.0,69762.525138855,2.0626121437495275
532.0,72.0,55.77734375,55.77734375,0.0,69757.5285340697,2.061663222544211
533.0,72.453125,60.77734375,60.77734375,0.0,69748.4566842467,2.0561744417964225
534.0,76.0,65.77734375,71.7356003568888,0.0,69744.381439209,2.0540994149283556
535.0,76.0,70.421875,74.9979019684019,0.0,69744.381439209,2.0534891129083332
536.0,76.0,74.77734375,78.6691005016792,0.0,69744.381439209,2.0484413245879165
537.0,75.546875,79.421875,84.1710333675384,0.0,69744.381439209,2.054548282220494
538.0,72.0,83.77734375,87.8024297592395,0.0,69744.381439209,2.054438034113655
539.0,72.453125,88.421875,91.7204221792603,0.0,69744.381439209,2.0522527591387445
540.0,76.0,92.421875,95.6433518755665,0.0,69739.3848344237,2.0505754129417895
541.0,76.0,96.77734375,100.615335477033,0.0,69730.3129846007,2.04704353609045
542.0,75.546875,101.421875,104.692674275911,0.0,69726.237739563,2.048949253365867
543.0,72.0,105.421875,110.104339746363,0.0,69726.237739563,2.0507368476696666
544.0,71.546875,109.421875,112.66107511686,0.0,69726.237739563,2.057851787993378
545.0,68.0,113.421875,116.402732910244,0.0,69726.237739563,2.058190407178678
546.0,68.0,117.421875,121.837780082109,0.0,69726.237739563,2.057792726507567
547.0,68.0,121.421875,125.493347153336,0.0,69726.237739563,2.064628109131789
548.0,67.546875,125.421875,128.158489992505,0.0,69721.2411347777,2.0667543226208887
549.0,64.0,129.421875,132.398475122456,0.0,69712.1692849547,2.068719101382111
550.0,64.0,133.06640625,137.252784415171,0.0,69708.094039917,2.0660258976292503
551.0,64.0,136.421875,138.493514712117,0.0,69708.094039917,2.0717942360765336
552.0,63.546875,140.06640625,141.689406886559,0.0,69708.094039917,2.0743181302367444
553.0,60.453125,143.421875,147.26200488313998,0.0,69708.094039917,2.0730817764671556
554.0,63.546875,147.06640625,149.112104493392,0.0,69708.094039917,2.0785705572149444
565.0,63.625,174.0,176.233591766972,1365.3125,69671.806640625,2.1051167263696002
566.0,95.625,174.0,176.331514835919,1752.8515625,69671.806640625,2.1028212032878497
567.0,127.625,173.64453125,174.43717758112098,2034.921875,69671.806640625,2.1020337168104057
568.0,160.078125,172.64453125,173.43182093781502,2245.859375,69671.806640625,2.105955399468077
569.0,197.4375,171.64453125,174.48751242818,2384.7265625,69671.806640625,2.1022109012678274
570.0,244.984375,170.64453125,173.954824871292,2505.6640625,69666.81003583969,2.093631236096072
571.0,288.984375,169.64453125,171.340230883012,2556.796875,69657.7381860167,2.0977301032111666
572.0,334.796875,169.0,169.829777498781,2612.265625,69653.662940979,2.089489057224711
573.0,392.078125,169.35546875,169.980498383119,2628.8671875,69653.662940979,2.0934698013681947
574.0,428.53125,170.0,171.698455067895,2617.734375,69653.662940979,2.0908356591011446
575.0,468.53125,170.0,170.98235734463302,2594.3359375,69653.662940979,2.087091160900894
576.0,508.984375,170.0,171.10146181645598,2547.734375,69648.6663361937,2.077113707231672
577.0,552.53125,170.0,170.80339483330602,2528.8671875,69639.5944863707,2.0803660263835164
578.0,592.53125,170.0,171.782002740414,2525.6640625,69635.519241333,2.0810865765103777
579.0,633.4375,169.64453125,170.420757426871,2573.3984375,69635.519241333,2.0877605244067223
580.0,680.53125,169.0,169.177883605314,2602.265625,69635.519241333,2.0796376013918834
581.0,720.984375,169.0,170.265058471882,2622.265625,69635.519241333,2.0766136533184945
582.0,765.4375,169.0,169.701282419724,2641.1328125,69635.519241333,2.0727510321466274
583.0,812.984375,169.0,169.338930723923,2650.0,69635.519241333,2.0681009244973168
584.0,856.984375,169.0,168.625215134849,2650.0,69635.519241333,2.0668133841066942
585.0,900.984375,169.0,169.77984863084498,2650.0,69635.519241333,2.0659156495224114
586.0,944.984375,169.0,169.428890802857,2648.8671875,69630.5226365477,2.0673724995056832
587.0,988.984375,169.0,168.659237154529,2637.734375,69621.4507867247,2.0670929418061887
588.0,1032.53125,169.0,168.08892077107402,2617.734375,69617.375541687,2.0638484975191163
589.0,1073.4375,169.0,168.119277746826,2597.734375,69617.375541687,2.05897001879135
590.0,1120.984375,169.0,169.01481418959,2577.734375,69617.375541687,2.062501895642689
591.0,1164.53125,169.35546875,168.154316020344,2557.734375,69617.375541687,2.060316620667778
592.0,1204.984375,170.0,167.730919387549,2536.6015625,69612.3789369017,2.058918832170317
593.0,1248.53125,170.0,167.010668681439,2506.6015625,69603.3070870787,2.054997149512639
594.0,1288.53125,170.0,167.620099084473,2476.6015625,69599.231842041,2.0528709360235395
595.0,1328.984375,170.0,167.633292195915,2447.734375,69599.231842041,2.049787926464344
596.0,1372.078125,170.0,167.717239169459,2426.6015625,69599.231842041,2.0506856610486333
597.0,1408.53125,170.0,167.64573185096202,2397.734375,69599.231842041,2.0483901379668774
598.0,1448.984375,170.0,168.223612468618,2376.6015625,69599.231842041,2.045925305292478
599.0,1492.078125,170.35546875,168.408336900402,2348.8671875,69599.231842041,2.0465946687983054
600.0,1528.53125,171.0,167.39349489271,2337.734375,69594.2352372557,2.048000332160544
601.0,1568.078125,171.0,167.944636560334,2318.8671875,69585.1633874327,2.0416138168284723
